,close,Company,Date
75352,111.18,VRTX,2015-02-02
75353,108.720001,VRTX,2015-02-03
75354,109.269997,VRTX,2015-02-04
75355,111.589996,VRTX,2015-02-05
75356,108.660004,VRTX,2015-02-06
75357,107.879997,VRTX,2015-02-09
75358,108.43,VRTX,2015-02-10
75359,108.620003,VRTX,2015-02-11
75360,109.629997,VRTX,2015-02-12
75361,113.660004,VRTX,2015-02-13
75362,113.400002,VRTX,2015-02-17
75363,113.57,VRTX,2015-02-18
75364,111.970001,VRTX,2015-02-19
75365,118.610001,VRTX,2015-02-20
75366,117.120003,VRTX,2015-02-23
75367,116.919998,VRTX,2015-02-24
75368,118.839996,VRTX,2015-02-25
75369,119.970001,VRTX,2015-02-26
75370,119.43,VRTX,2015-02-27
75371,120.169998,VRTX,2015-03-02
75372,123.519997,VRTX,2015-03-03
75373,120.050003,VRTX,2015-03-04
75374,126.959999,VRTX,2015-03-05
75375,126.339996,VRTX,2015-03-06
75376,126.980003,VRTX,2015-03-09
75377,124.139999,VRTX,2015-03-10
75378,122.639999,VRTX,2015-03-11
75379,123.309998,VRTX,2015-03-12
75380,124.0,VRTX,2015-03-13
75381,127.730003,VRTX,2015-03-16
75382,129.149994,VRTX,2015-03-17
75383,129.789993,VRTX,2015-03-18
75384,134.25,VRTX,2015-03-19
75385,131.0,VRTX,2015-03-20
75386,125.790001,VRTX,2015-03-23
75387,124.339996,VRTX,2015-03-24
75388,118.639999,VRTX,2015-03-25
75389,117.599998,VRTX,2015-03-26
75390,120.339996,VRTX,2015-03-27
75391,121.25,VRTX,2015-03-30
75392,117.970001,VRTX,2015-03-31
75393,122.889999,VRTX,2016-01-04
75394,123.449997,VRTX,2016-01-05
75395,122.230003,VRTX,2016-01-06
75396,114.959999,VRTX,2016-01-07
75397,110.709999,VRTX,2016-01-08
75398,103.949997,VRTX,2016-01-11
75399,103.639999,VRTX,2016-01-12
75400,96.370003,VRTX,2016-01-13
75401,101.910004,VRTX,2016-01-14
75402,97.910004,VRTX,2016-01-15
75403,94.989998,VRTX,2016-01-19
75404,96.989998,VRTX,2016-01-20
75405,56.82,VTR,2014-01-02
75406,56.790001,VTR,2014-01-03
75407,58.200001,VTR,2014-01-06
75408,58.220001,VTR,2014-01-07
75409,57.889999,VTR,2014-01-08
75410,58.040001,VTR,2014-01-09
75411,60.700001,VTR,2014-01-10
75412,59.900002,VTR,2014-01-13
75413,59.939999,VTR,2014-01-14
75414,60.290001,VTR,2014-01-15
75415,61.200001,VTR,2014-01-16
75416,60.959999,VTR,2014-01-17
75417,61.799999,VTR,2014-01-21
75418,61.639999,VTR,2014-01-22
75419,61.470001,VTR,2014-01-23
75420,61.389999,VTR,2014-01-24
75421,61.360001,VTR,2014-01-27
75422,61.82,VTR,2014-01-28
75423,61.599998,VTR,2014-01-29
75424,61.830002,VTR,2014-01-30
75425,62.389999,VTR,2014-01-31
75426,61.549999,VTR,2014-02-03
75427,61.990002,VTR,2014-02-04
75428,61.540001,VTR,2014-02-05
75429,61.799999,VTR,2014-02-06
75430,61.939999,VTR,2014-02-07
75431,62.950001,VTR,2014-02-10
75432,62.630001,VTR,2014-02-11
75433,61.779999,VTR,2014-02-12
75434,62.599998,VTR,2014-02-13
75435,61.52,VTR,2014-02-14
75436,61.419998,VTR,2014-02-18
75437,61.91,VTR,2014-02-19
75438,61.150002,VTR,2014-02-20
75439,60.619999,VTR,2014-02-21
75440,61.709999,VTR,2014-02-24
75441,61.490002,VTR,2014-02-25
75442,61.939999,VTR,2014-02-26
75443,62.439999,VTR,2014-02-27
